lambda;mu;theta;total;avg_log_step;avg_h_step;max_log_step;max_h_step;improved;worsened;same;improved_ratio;worsened_ratio;same_ratio;worst_loss;worst_loss_n;best_gain;best_gain_n;score_avg_gain
0.34;0.04;0.0;2499999;3.487790995116398;3.1153632461452982;141;140;355456;96;2144447;0.14218245687298275;3.8400015360006146e-05;0.8577791431116573;107;4941897;80;2943135;0.3724277489710996
0.34;0.04;0.05;2499999;3.487790995116398;3.110604044241618;141;140;363338;97;2136564;0.14533525813410325;3.880001552000621e-05;0.8546259418503768;107;4941897;80;2943135;0.3771869508747803
0.34;0.04;0.1;2499999;3.487790995116398;3.106742842697137;141;140;369944;96;2129959;0.14797765919106368;3.8400015360006146e-05;0.8519839407935763;107;4941897;80;2943135;0.381048152419261
0.34;0.04;0.15;2499999;3.487790995116398;3.098876039550416;141;140;384463;95;2115441;0.1537852615141046;3.800001520000608e-05;0.8461767384706954;107;4941897;80;2943135;0.3889149555659822
0.34;0.04;0.2;2499999;3.487790995116398;3.0839084335633733;141;140;413029;95;2086875;0.16521166608466645;3.800001520000608e-05;0.8347503339001335;107;4941897;80;2943135;0.4038825615530246
0.34;0.04;0.25;2499999;3.487790995116398;3.067363226945291;141;140;440973;96;2058930;0.17638927055570822;3.8400015360006146e-05;0.8235723294289318;107;4941897;80;2943135;0.4204277681711073
0.34;0.04;0.3;2499999;3.487790995116398;3.102084440833776;141;140;470843;58811;1970345;0.18833727533491013;0.023524409409763764;0.7881383152553261;107;4941897;80;2943135;0.38570655428262174
0.34;0.05;0.0;2499999;3.487790995116398;3.0897140358856143;141;140;364588;98;2135313;0.14583525833410332;3.9200015680006275e-05;0.8541255416502167;107;4941897;80;2943135;0.3980769592307837
0.34;0.05;0.05;2499999;3.487790995116398;3.086627234650894;141;140;369519;98;2130382;0.14780765912306365;3.9200015680006275e-05;0.8521531408612564;107;4941897;80;2943135;0.40116376046550417
0.34;0.05;0.1;2499999;3.487790995116398;3.082525633010253;141;140;375953;97;2123949;0.15038126015250405;3.880001552000621e-05;0.8495799398319759;107;4941897;80;2943135;0.40526536210614483
0.34;0.05;0.15;2499999;3.487790995116398;3.0733476293390516;141;140;392358;96;2107545;0.1569432627773051;3.8400015360006146e-05;0.8430183372073349;107;4941897;80;1784859;0.4144433657773463
0.34;0.05;0.2;2499999;3.487790995116398;3.055675622270249;141;140;424407;96;2075496;0.16976286790514716;3.8400015360006146e-05;0.8301987320794928;107;4941897;80;1784859;0.43211537284614915
0.34;0.05;0.25;2499999;3.487790995116398;3.0401400160560064;141;140;451467;100;2048432;0.1805868722347489;4.00000160000064e-05;0.8193731277492511;107;4941897;80;1784859;0.44765097906039164
0.34;0.05;0.3;2499999;3.487790995116398;3.0827384330953733;141;140;483746;69695;1946558;0.19349847739939097;0.02787801115120446;0.7786235114494046;107;4941897;80;1784859;0.4050525620210248
0.34;0.06;0.0;2499999;3.487790995116398;3.072889629155852;141;140;368554;101;2131344;0.14742165896866358;4.0400016160006465e-05;0.8525379410151764;107;4941897;80;1784859;0.4149013659605464
0.34;0.06;0.05;2499999;3.487790995116398;3.069009227603691;141;140;374362;101;2125536;0.14974485989794395;4.0400016160006465e-05;0.850214740085896;107;4941897;80;1784859;0.418781767512707
0.34;0.06;0.1;2499999;3.487790995116398;3.06316122526449;141;140;383142;99;2116758;0.15325686130274452;3.9600015840006336e-05;0.8467035386814155;107;4941897;80;1784859;0.4246297698519079
0.34;0.06;0.15;2499999;3.487790995116398;3.0489812195924877;141;140;410186;99;2089714;0.16407446562978625;3.9600015840006336e-05;0.8358859343543737;107;4941897;80;1784859;0.4388097755239102
0.34;0.06;0.2;2499999;3.487790995116398;3.0320528128211253;141;140;440598;98;2059303;0.1762392704957082;3.9200015680006275e-05;0.8237215294886118;107;4941897;80;1784859;0.4557381822952729
0.34;0.06;0.25;2499999;3.487790995116398;3.0460808184323276;141;140;467208;33292;1999499;0.1868832747533099;0.013316805326722131;0.799799919919968;107;4941897;80;1784859;0.4417101766840707
0.34;0.06;0.3;2499999;3.487790995116398;3.0659488263795307;141;140;497377;77275;1925347;0.19895087958035182;0.030910012364004945;0.7701391080556432;107;4941897;80;1784859;0.4218421687368675
