start;classe_mod_1024;reached_one;total_syracuse_steps;max_value;max_ratio;peak_step;first_positive_surplus_step;first_descent_step;max_debt;max_debt_step;max_consecutive_v2_1;total_v2;avg_v2;final_surplus
917161;681;True;140;6692535845;7297.013114382316;51;1;1;12.833087536778962;51;7;242;1.7285714285714286;20.105249899038142
3224667;91;True;89;23530407821;7297.003945213568;51;55;55;12.833087536778962;51;9;163;1.8314606741573034;21.938337435817118
1138921;233;True;155;8216025965;7213.868183131227;92;1;1;12.816550066346366;92;7;266;1.7161290322580645;20.330812388220806
4169725;1021;True;162;30079718549;7213.8374950386415;92;1;1;12.816550066346366;92;9;279;1.7222222222222223;22.236074883172705
1130495;1023;True;119;8138196845;7198.79065807456;39;94;94;12.813537528125089;39;13;209;1.7563025210084033;20.389462414182418
3483115;491;True;118;25074208145;7198.788482435981;39;3;3;12.813537528125089;39;12;209;1.771186440677966;21.97442491490358
4761023;447;True;95;34273584341;7198.785710760061;39;45;45;12.813537528125089;39;13;173;1.8210526315789475;22.428562431490178
4923135;767;True;170;35440593461;7198.785623591471;39;61;61;12.813537528125089;39;7;292;1.7176470588235293;22.55637487740347
1154461;413;True;143;8216025965;7116.76355026285;80;1;1;12.797000057692486;80;7;247;1.7272727272727273;20.350362396874687
807407;495;True;60;5734125917;7101.902655042624;27;39;39;12.793987519471216;27;12;115;1.9166666666666667;19.90224995673063
2174823;871;True;126;15445365281;7101.895317917826;27;75;75;12.793987519471216;27;18;221;1.753968253968254;21.294724909134345
2504863;159;True;88;17789272325;7101.894325158702;27;34;34;12.793987519471216;27;8;161;1.8295454545454546;21.52329993653825
1357855;31;True;134;9533450789;7020.963791421028;68;83;83;12.777450049038606;68;7;233;1.7388059701492538;20.615024903365082
4009063;103;True;104;27768579569;6926.451285250444;56;75;75;12.75790004038474;56;9;187;1.7980769230769231;22.163899924999782
1199847;743;True;160;8216025965;6847.561368241118;97;9;9;12.741362569952145;97;7;274;1.7125;20.405999884615028
