classe_mod;count;avg_first_descent;max_first_descent;no_descent_count;no_descent_ratio;avg_max_ratio;max_ratio;avg_final_ratio;max_final_ratio;min_final_ratio
967;4882;5.0;5;0;0.0;2.250002291906971;2.25129265770424;0.9492207769052299;0.9503619441571872;0.9492189711330674
123;4883;5.0;5;0;0.0;1.6875049488154639;1.6991869918699187;0.4746115199349623;0.4796747967479675;0.4746094996270471
379;4883;5.0;5;0;0.0;1.687503245120881;1.6912928759894459;0.9492215630259828;0.9525065963060686;0.9492189992413312
635;4883;5.0;5;0;0.0;1.6875028642416654;1.689763779527559;0.15822893047146858;0.2377952755905512;5.7935770498078954e-05
891;4882;5.0;5;0;0.0;1.687502676276325;1.6891133557800224;0.9492210699243184;0.9506172839506173;0.9492189992668585
15;4883;4.0;4;0;0.0;3.375036722481866;3.533333333333333;0.31641017592322623;0.3333333333333333;0.316406300789549
143;4883;4.0;4;0;0.0;3.375007610454674;3.3916083916083917;0.6328141272353727;0.6363636363636364;0.6328126015764972
271;4883;4.0;4;0;0.0;3.3750059287794283;3.3837638376383765;0.15820344191666286;0.15867158671586715;0.15820315039347416
399;4883;4.0;4;0;0.0;3.37500528747817;3.380952380952381;0.632813630546317;0.6340852130325815;0.632812601571296
527;4883;4.0;4;0;0.0;3.3750049333965695;3.379506641366224;0.3164067774190429;0.31688804554079697;0.31640630078434784
655;4883;4.0;4;0;0.0;3.3750047010660604;3.378625954198473;0.6328135051621514;0.6335877862595419;0.6328126015660954
783;4883;4.0;4;0;0.0;3.3750045326342537;3.3780332056194124;0.05272721269971236;0.07913669064748201;9.655958209012871e-06
911;4882;4.0;4;0;0.0;3.3750044032187376;3.377607025246981;0.6328134414776904;0.6333699231613611;0.6328126015816989
7;4883;4.0;4;0;0.0;2.250038834797535;2.4285714285714284;0.6328302183763754;0.7142857142857143;0.6328126140813234
135;4883;4.0;4;0;0.0;2.2500041142592817;2.259259259259259;0.3164071885653976;0.31851851851851853;0.31640630703920125
263;4883;4.0;4;0;0.0;2.2500031514542163;2.2547528517110265;0.6328139378509834;0.6349809885931559;0.6328126140754818
391;4883;4.0;4;0;0.0;2.250002798040276;2.2531969309462916;0.05273492510087138;0.0792838874680307;9.655954241460079e-06
