ANALISI PEGGIORAMENTI CANDIDATO PRUDENTE
========================================================================================================================

H(n) = log(n) + 0.3*Dmax80(n) - 0.04*Cmax80(n)
LIMIT = 5000000
MAX_BLOCK_STEPS = 300
LOOKAHEAD = 80

Peggioramenti trovati: 86
Loss medio: 25.744186
Initial Dmax medio: 6.575386
Initial Cmax medio: 2.791062
Dmax at log step medio: 8.123246
Cmax at log step medio: 2.437627
Ratio v2=1 medio fino a H descent: 0.533168
Max ratio medio: 1054.573598

Top 30 per loss
------------------------------------------------------------------------------------------------------------------------
n=    810815 | log_step=  10 | h_step=  95 | loss=  85 | dmax0=11.947375 | cmax0=0.150375 | dmax_log=13.457150 | cmax_log=0.000000 | dmax_delta=+1.509775 | cmax_delta=-0.150375 | h_delta_log=+0.354718 | max_ratio=10133.046 | ratio_1=0.663158
n=   2959003 | log_step=  31 | h_step=  96 | loss=  65 | dmax0=8.342863 | cmax0=0.866162 | dmax_log=11.342863 | cmax_log=0.000000 | dmax_delta=+3.000000 | cmax_delta=-0.866162 | h_delta_log=+0.334269 | max_ratio=1424.957 | ratio_1=0.645833
n=   3328879 | log_step=  29 | h_step=  94 | loss=  65 | dmax0=8.172938 | cmax0=1.036087 | dmax_log=11.342863 | cmax_log=0.000000 | dmax_delta=+3.169925 | cmax_delta=-1.036087 | h_delta_log=+0.274261 | max_ratio=1266.628 | ratio_1=0.648936
n=   4941897 | log_step=   1 | h_step= 108 | loss= 107 | dmax0=10.797000 | cmax0=0.660150 | dmax_log=11.797000 | cmax_log=0.245112 | dmax_delta=+1.000000 | cmax_delta=-0.415037 | h_delta_log=+0.028919 | max_ratio=6086.675 | ratio_1=0.694444
n=    912167 | log_step=   5 | h_step=  93 | loss=  88 | dmax0=11.797000 | cmax0=0.320300 | dmax_log=13.212038 | cmax_log=0.245112 | dmax_delta=+1.415037 | cmax_delta=-0.075187 | h_delta_log=+0.375404 | max_ratio=9007.151 | ratio_1=0.655914
n=   1216223 | log_step=   6 | h_step=  93 | loss=  87 | dmax0=11.362413 | cmax0=0.735337 | dmax_log=13.212038 | cmax_log=0.245112 | dmax_delta=+1.849625 | cmax_delta=-0.490225 | h_delta_log=+0.234699 | max_ratio=6755.361 | ratio_1=0.666667
n=   1368251 | log_step=   4 | h_step=  91 | loss=  87 | dmax0=11.212038 | cmax0=0.905262 | dmax_log=13.212038 | cmax_log=0.245112 | dmax_delta=+2.000000 | cmax_delta=-0.660150 | h_delta_log=+0.168826 | max_ratio=6004.765 | ratio_1=0.659341
n=   1824335 | log_step=   5 | h_step=   8 | loss=   3 | dmax0=10.797000 | cmax0=1.320300 | dmax_log=13.212038 | cmax_log=0.245112 | dmax_delta=+2.415037 | cmax_delta=-1.075187 | h_delta_log=+0.022256 | max_ratio=3.375 | ratio_1=0.625000
n=   4010209 | log_step=   1 | h_step=   2 | loss=   1 | dmax0=10.797000 | cmax0=0.830075 | dmax_log=11.797000 | cmax_log=0.415037 | dmax_delta=+1.000000 | cmax_delta=-0.415037 | h_delta_log=+0.028920 | max_ratio=1.000 | ratio_1=0.000000
n=   3946923 | log_step=   3 | h_step=   4 | loss=   1 | dmax0=4.529325 | cmax0=0.771425 | dmax_log=5.212038 | cmax_log=0.526312 | dmax_delta=+0.682713 | cmax_delta=-0.245112 | h_delta_log=+0.044719 | max_ratio=1.500 | ratio_1=0.250000
n=   1896063 | log_step=  16 | h_step= 110 | loss=  94 | dmax0=9.212038 | cmax0=1.375937 | dmax_log=11.362413 | cmax_log=0.735337 | dmax_delta=+2.150375 | cmax_delta=-0.640600 | h_delta_log=+0.226707 | max_ratio=4333.203 | ratio_1=0.672727
n=   4239983 | log_step=  10 | h_step=  14 | loss=   4 | dmax0=5.797000 | cmax0=0.885712 | dmax_log=6.702263 | cmax_log=0.735337 | dmax_delta=+0.905262 | cmax_delta=-0.150375 | h_delta_log=+0.173362 | max_ratio=3.797 | ratio_1=0.500000
n=   1583007 | log_step=  13 | h_step=  32 | loss=  19 | dmax0=5.797000 | cmax0=1.281200 | dmax_log=6.777450 | cmax_log=0.885712 | dmax_delta=+0.980450 | cmax_delta=-0.395487 | h_delta_log=+0.035825 | max_ratio=24.659 | ratio_1=0.656250
n=   4213113 | log_step=   1 | h_step=  25 | loss=  24 | dmax0=8.797000 | cmax0=1.375937 | dmax_log=9.797000 | cmax_log=0.960900 | dmax_delta=+1.000000 | cmax_delta=-0.415037 | h_delta_log=+0.028920 | max_ratio=41.053 | ratio_1=0.600000
n=   2052377 | log_step=   1 | h_step=   3 | loss=   2 | dmax0=10.797000 | cmax0=1.490225 | dmax_log=11.797000 | cmax_log=1.075187 | dmax_delta=+1.000000 | cmax_delta=-0.415037 | h_delta_log=+0.028920 | max_ratio=1.125 | ratio_1=0.333333
n=   3058923 | log_step=   3 | h_step=  22 | loss=  19 | dmax0=6.797000 | cmax0=1.545862 | dmax_log=8.212038 | cmax_log=1.300750 | dmax_delta=+1.415037 | cmax_delta=-0.245112 | h_delta_log=+0.264417 | max_ratio=7.697 | ratio_1=0.590909
