start;log_step;log_value;h_step;h_value;loss;initial_debt;initial_debt_step;debt_at_log_descent;debt_step_at_log_descent;log_delta_at_log_descent;h_delta_at_log_descent;ratio_at_log_descent;v2_at_log_descent
4115583;15;3519901;92;14496683;77;4.398500028846243;40;5.702262552644399;73;-0.1563476366715566;0.4955336252275231;0.8552618183134686;2
4239983;10;3820295;84;18647521;74;5.797000057692486;80;6.702262552644399;73;-0.10423161503419998;0.3483996324417582;0.9010165842646067;3
1981743;20;1608841;91;4653677;71;3.4736875252404644;35;5.777450049038606;68;-0.20846271651228854;0.9434185453867805;0.8118313020406783;4
2826655;15;2417531;85;18647521;70;5.908275033173183;46;7.362412549759767;69;-0.15634726234117124;0.570721495952121;0.8552621384640149;3
3605743;28;2344447;98;36167629;70;4.849625007211561;10;6.02256254687515;65;-0.43047829894331;0.15599047088848295;0.6501980313072784;4
2959003;31;1623323;96;26382587;65;8.342862541105902;57;11.342862541105902;57;-0.6003771043705406;0.8996228956294559;0.5486047158451681;3
3328879;29;1623323;94;26382587;65;8.172937539663579;55;11.342862541105902;57;-0.7181603277778343;0.8668021729433235;0.4876485447503499;3
3159835;24;1623323;87;187609507;63;9.797000057692486;80;11.342862541105902;57;-0.6660445281426366;0.10688671356406942;0.5137366349825229;3
919791;41;909311;103;17515045;62;7.927825041827049;58;8.00301253822127;53;-0.011459300445803677;0.02613444775130702;0.9886061072569747;3
1422951;25;1096535;87;21121493;62;6.797000057692486;80;8.927825041827049;58;-0.26057767611007243;0.8048348159572072;0.7706062963517366;3
1289703;7;688619;50;95735;43;3.797000057692486;80;5.8721875540867075;75;-0.6274790955501377;0.410114652646973;0.5339361077705487;3
4687079;59;3343775;98;94027861;39;6.869175015865437;22;8.058650025961619;36;-0.3377091656599944;0.2570283393880928;0.7134027397447322;3
