T;src;dst;count;weight_sum;source_count;normalized_weight
12;v2=0|odd=1|h=2;v2=2|odd=3|h=3;7;3.25;1024;0.003173828125
12;v2=0|odd=1|h=3;v2=2|odd=3|h=0;7;3.25;1024;0.003173828125
12;v2=0|odd=1|h=0;v2=2|odd=1|h=1;7;1.625;1024;0.0015869140625
12;v2=0|odd=1|h=1;v2=2|odd=1|h=2;7;1.625;1024;0.0015869140625
12;v2=0|odd=1|h=2;v2=2|odd=1|h=3;7;1.625;1024;0.0015869140625
12;v2=0|odd=1|h=3;v2=2|odd=1|h=0;7;1.625;1024;0.0015869140625
12;v2=1|odd=3|h=0;v2=1|odd=1|h=1;6;2.5;512;0.0048828125
12;v2=1|odd=3|h=1;v2=1|odd=1|h=2;6;2.5;512;0.0048828125
12;v2=1|odd=3|h=2;v2=1|odd=1|h=3;6;2.5;512;0.0048828125
12;v2=1|odd=3|h=3;v2=1|odd=1|h=0;6;2.5;512;0.0048828125
12;v2=0|odd=3|h=0;v2=2|odd=3|h=1;5;1.1875;1024;0.00115966796875
12;v2=0|odd=3|h=1;v2=2|odd=3|h=2;5;1.1875;1024;0.00115966796875
12;v2=0|odd=3|h=2;v2=2|odd=3|h=3;5;1.1875;1024;0.00115966796875
12;v2=0|odd=3|h=3;v2=2|odd=3|h=0;5;1.1875;1024;0.00115966796875
12;v2=1|odd=3|h=0;v2=0|odd=1|h=1;5;1.5;512;0.0029296875
12;v2=1|odd=3|h=1;v2=0|odd=1|h=2;5;1.5;512;0.0029296875
12;v2=1|odd=3|h=2;v2=0|odd=1|h=3;5;1.5;512;0.0029296875
12;v2=1|odd=3|h=3;v2=0|odd=1|h=0;5;1.5;512;0.0029296875
12;v2=1|odd=3|h=0;v2=0|odd=3|h=1;4;1.75;512;0.00341796875
12;v2=1|odd=3|h=1;v2=0|odd=3|h=2;4;1.75;512;0.00341796875
12;v2=1|odd=3|h=2;v2=0|odd=3|h=3;4;1.75;512;0.00341796875
12;v2=1|odd=3|h=3;v2=0|odd=3|h=0;4;1.75;512;0.00341796875
