ANALISI PEGGIORAMENTI LAMBDA=0.45
========================================================================================================================

LIMIT = 5000000
MAX_BLOCK_STEPS = 300
DEBT_LOOKAHEAD = 80
LAMBDA = 0.45

Peggioramenti trovati: 129
Loss medio: 47.031008
Initial debt medio: 6.462500
Future debt at log step medio: 8.033661
Ratio v2=1 medio fino a H descent: 0.587405

Top 30 per loss
------------------------------------------------------------------------------------------------------------------------
n=   3706423 | log_step=   3 | h_step= 107 | loss= 104 | init_debt=11.797000 | debt_log=12.797000 | debt_delta_log=+1.000000 | h_delta_log=+0.280101 | max_ratio=8115.565 | ratio_1=0.700935
n=   4809759 | log_step=  28 | h_step= 132 | loss= 104 | init_debt=9.797000 | debt_log=12.797000 | debt_delta_log=+3.000000 | h_delta_log=+0.919521 | max_ratio=6253.893 | ratio_1=0.681818
n=   1441447 | log_step=   8 | h_step=  95 | loss=  87 | init_debt=11.117300 | debt_log=12.797000 | debt_delta_log=+1.679700 | h_delta_log=+0.533851 | max_ratio=5699.846 | ratio_1=0.652632
n=   1539281 | log_step=   1 | h_step=   2 | loss=   1 | init_debt=11.797000 | debt_log=12.797000 | debt_delta_log=+1.000000 | h_delta_log=+0.162318 | max_ratio=1.000 | ratio_1=0.000000
n=   3168559 | log_step=   7 | h_step=  90 | loss=  83 | init_debt=11.117300 | debt_log=12.627075 | debt_delta_log=+1.509775 | h_delta_log=+0.051919 | max_ratio=3377.674 | ratio_1=0.644444
n=   4941897 | log_step=   1 | h_step= 108 | loss= 107 | init_debt=10.797000 | debt_log=11.797000 | debt_delta_log=+1.000000 | h_delta_log=+0.162318 | max_ratio=6086.675 | ratio_1=0.694444
n=   2052377 | log_step=   1 | h_step=  89 | loss=  88 | init_debt=10.797000 | debt_log=11.797000 | debt_delta_log=+1.000000 | h_delta_log=+0.162318 | max_ratio=4003.176 | ratio_1=0.662921
n=   2162171 | log_step=   6 | h_step=  94 | loss=  88 | init_debt=10.532338 | debt_log=11.797000 | debt_delta_log=+1.264663 | h_delta_log=+0.229301 | max_ratio=3799.896 | ratio_1=0.648936
n=   2432443 | log_step=   4 | h_step=  92 | loss=  88 | init_debt=10.362413 | debt_log=11.797000 | debt_delta_log=+1.434588 | h_delta_log=+0.187984 | max_ratio=3377.685 | ratio_1=0.652174
n=   2736503 | log_step=   3 | h_step=  90 | loss=  87 | init_debt=10.212038 | debt_log=11.797000 | debt_delta_log=+1.584963 | h_delta_log=+0.543334 | max_ratio=3002.381 | ratio_1=0.666667
