start;log_step;h_step;loss;max_value;max_value_step;max_ratio;ratio_1_until_h;avg_v2_until_h;count_1_until_h;count_2_until_h;count_3_until_h;count_4_plus_until_h;initial_dmax;initial_cmax;initial_pmax;initial_pavg;log_value;log_delta_at_log_step;dmax_at_log_step;dmax_delta_at_log_step;cmax_at_log_step;cmax_delta_at_log_step;pmax_at_log_step;pmax_delta_at_log_step;pavg_at_log_step;h_delta_at_log_step;local_debt_at_log_step;classification
10470495;5;93;88;4973327909;87;474.9849848550618;0.6666666666666666;1.5591397849462365;62;19;6;6;6.833087536778962;0.07518749639421962;1.0;0.6625;9938791;-0.052115918209533874;7.797000057692486;0.9639125209135244;0.0;-0.07518749639421962;1.0;0.0;0.6625;0.2200352125380789;-0.07518749639421962;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_DENSITA_V2_1+ALTA_PRESSIONE_PMAX
11779307;3;91;88;4973327909;85;422.2088709463129;0.6483516483516484;1.5604395604395604;59;21;6;5;6.663162535336653;0.24511249783653177;1.0;0.6375;9938791;-0.16989896447774555;7.797000057692486;1.133837522355833;0.0;-0.24511249783653177;1.0;0.0;0.6625;0.15492891671698317;-0.24511249783653177;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_PRESSIONE_PMAX
13251721;1;89;88;4973327909;83;375.29675647412137;0.651685393258427;1.5617977528089888;58;20;6;5;6.797000057692486;0.4150374992788439;0.8;0.65;9938791;-0.28768204729781743;7.797000057692486;1.0;0.0;-0.4150374992788439;1.0;0.19999999999999996;0.6625;0.06476907768054829;-0.4150374992788439;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_DENSITA_V2_1+ALTA_PRESSIONE_PMAX
6811007;8;94;86;2875668257;85;422.2089710082518;0.6276595744680851;1.5425531914893618;59;24;7;4;7.37895002019237;0.3202999942307514;1.0;0.6625;5454959;-0.22201487679142495;9.042112555529016;1.663162535336646;0.0;-0.3202999942307514;1.0;0.0;0.65;0.2532796329297611;-0.3202999942307514;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_PRESSIONE_PMAX
7662383;6;92;86;2875668257;83;375.2968569960546;0.6086956521739131;1.5434782608695652;56;26;7;3;7.797000057692486;0.49022499567306355;1.0;0.65;5454959;-0.3397979287612696;9.042112555529016;1.24511249783653;0.0;-0.49022499567306355;1.0;0.0;0.65;0.02354032050315169;-0.49022499567306355;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_PRESSIONE_PMAX
10216511;7;93;86;2875668257;84;281.4726335634543;0.6236559139784946;1.5483870967741935;58;24;7;4;6.797000057692486;0.9052624949519075;1.0;0.6625;5454959;-0.6274800338399764;9.042112555529016;2.24511249783653;0.0;-0.9052624949519075;1.0;0.0;0.65;0.02830934040281008;-0.9052624949519075;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_PRESSIONE_PMAX
18270345;1;87;86;195037873217;81;10675.106201716497;0.6666666666666666;1.5517241379310345;58;19;5;5;12.797000057692486;0.4150374992788439;0.7575757575757576;0.7;13702759;-0.28768205420728066;13.797000057692486;1.0;0.0;-0.4150374992788439;1.0;0.24242424242424243;0.7125;0.07749634349835688;-0.4150374992788439;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_DENSITA_V2_1+ALTA_PRESSIONE_PMAX+ESPLOSIONE_FORTE
17668407;3;88;85;35364774545;82;2001.5825164656892;0.6136363636363636;1.5454545454545454;54;26;5;3;10.532337551202076;0.24511249783653177;1.0;0.6375;14907719;-0.16989899696703858;11.212037556971325;0.6797000057692486;0.0;-0.24511249783653177;1.0;0.0;0.6375;0.027770379583447635;-0.24511249783653177;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_PRESSIONE_PMAX+ESPLOSIONE_FORTE
6649279;92;176;84;5069576069;148;762.4249289283846;0.6761363636363636;1.5681818181818181;119;31;15;11;8.869175015865437;0.0;1.0;0.675;5855323;-0.12715726568474217;9.75790004038474;0.888725024519303;0.0;0.0;1.0;0.0;0.675;0.12168574118066289;-0.18344993365363393;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+ALTA_DENSITA_V2_1+ALTA_PRESSIONE_PMAX
6875817;1;84;83;6881258609;82;1000.7914127150271;0.6785714285714286;1.5714285714285714;57;17;7;3;8.797000057692486;0.4150374992788439;0.9166666666666666;0.6875;5156863;-0.28768202397269427;9.797000057692486;1.0;0.0;-0.4150374992788439;1.0;0.08333333333333337;0.7;0.029769101005673093;-0.4150374992788439;VERO_RIBELLE_ESTREMO+DMAX_CRESCE+CMAX_SCENDE+ALTA_DENSITA_V2_1+ALTA_PRESSIONE_PMAX+ESPLOSIONE_FORTE
