common_value;members_count;min_step;max_step;avg_step;members
185993279;3;28;36;33.0;1395183,2092775,2234815
185938361;3;63;70;65.66666666666667;1072575,1506607,1608863
185928365;3;109;112;110.33333333333333;3428767,4063723,4571689
183873397;3;31;37;33.666666666666664;459759,581883,654619
182908243;3;23;28;25.333333333333332;3708699,4172287,4395495
180446363;3;11;16;13.333333333333334;3708699,4172287,4395495
178530961;3;27;34;29.666666666666668;1072575,1506607,1608863
175095857;3;78;83;80.0;3542887,3732423,4723849
174536117;3;74;82;79.0;1395183,2092775,2234815
173749591;3;64;67;65.66666666666667;3563611,4009063,4751481
172719971;3;69;71;70.0;2799007,3732009,4198511
172378793;3;13;18;15.0;3542887,3732423,4723849
169103855;3;40;43;41.666666666666664;3563611,4009063,4751481
169067699;3;66;69;67.66666666666667;1027431,1541147,1733791
168112417;3;36;39;37.333333333333336;420351,630527,747291
165269657;3;107;110;108.33333333333333;3428767,4063723,4571689
163443019;3;29;35;31.666666666666668;459759,581883,654619
162924965;3;74;79;76.33333333333333;3708699,4172287,4395495
162671743;3;83;86;84.66666666666667;1027431,1541147,1733791
161243167;3;55;63;60.0;1395183,2092775,2234815
160859303;3;37;44;39.666666666666664;1072575,1506607,1608863
159098597;3;77;79;78.0;3219199,4292265,4828799
158723711;3;9;11;10.0;1835007,2752511,4128767
158694187;3;25;32;27.666666666666668;1072575,1506607,1608863
156885493;3;66;73;68.66666666666667;1072575,1506607,1608863
156517741;3;100;103;101.66666666666667;1027431,1541147,1733791
156224639;3;21;24;22.666666666666668;3563611,4009063,4751481
155640761;3;76;81;78.0;3542887,3732423,4723849
155308711;3;17;20;18.333333333333332;420351,630527,747291
155107669;3;52;54;53.0;3224667,3627751,4837001
154328831;3;26;31;28.333333333333332;3708699,4172287,4395495
153225593;3;11;16;13.0;3542887,3732423,4723849
152332751;3;76;79;77.66666666666667;1027431,1541147,1733791
151236325;3;35;36;35.666666666666664;2268927,3403391,4537855
150314537;3;38;41;39.666666666666664;3563611,4009063,4751481
147192551;3;11;12;11.666666666666666;2268927,3403391,4537855
145385063;3;22;24;23.0;829087,1105449,1243631
141844853;3;39;42;40.333333333333336;420351,630527,747291
141365735;3;21;23;22.0;3224667,3627751,4837001
141061499;3;23;30;25.666666666666668;1072575,1506607,1608863
139453771;3;64;71;66.66666666666667;1072575,1506607,1608863
