METRICHE DELLE FAMIGLIE GRAVITAZIONALI
========================================================================================================================

Famiglie analizzate: 344
Famiglie con tronco dissipativo da subito: 77
Percentuale dissipative da subito: 0.2238

Media membri: 6.979651
Media nodi comuni: 19.389535
Media avg_v2 tronco: 1.847881
Media surplus finale: 24.010594

TOP 20 PER MEMBRI
------------------------------------------------------------------------------------------------------------------------
id=c60dd8e4c06d | members=   3 | nodes=  91 | max_common=    27768579569 | steps=  48 | avg_v2=2.312500 | surplus=+34.921800 | surplus_step=+0.727537 | max_debt_trunk=0.000000 | diss=True
id=084fa95af496 | members=   2 | nodes=  87 | max_common=    13063393745 | steps=  48 | avg_v2=2.291667 | surplus=+33.921800 | surplus_step=+0.706704 | max_debt_trunk=0.000000 | diss=True
id=f59d882b99b2 | members=   6 | nodes= 104 | max_common=    42216015293 | steps=  52 | avg_v2=2.269231 | surplus=+35.581950 | surplus_step=+0.684268 | max_debt_trunk=0.000000 | diss=True
id=fd2bf2f714a8 | members=   2 | nodes=  62 | max_common=    46162343069 | steps=  52 | avg_v2=2.269231 | surplus=+35.581950 | surplus_step=+0.684268 | max_debt_trunk=0.000000 | diss=True
id=cdb55da806ae | members=   5 | nodes=  46 | max_common=    11703159125 | steps=  50 | avg_v2=2.260000 | surplus=+33.751875 | surplus_step=+0.675037 | max_debt_trunk=0.000000 | diss=True
id=8a00a914551b | members=  18 | nodes=  55 | max_common=    18997161173 | steps=  54 | avg_v2=2.222222 | surplus=+34.412025 | surplus_step=+0.637260 | max_debt_trunk=0.000000 | diss=True
id=8953bc6def58 | members=   2 | nodes=  50 | max_common=    34273584341 | steps=  56 | avg_v2=2.214286 | surplus=+35.242100 | surplus_step=+0.629323 | max_debt_trunk=0.000000 | diss=True
id=52fc5cf80eb9 | members=   3 | nodes=  57 | max_common=    17207332949 | steps=  56 | avg_v2=2.196429 | surplus=+34.242100 | surplus_step=+0.611466 | max_debt_trunk=0.000000 | diss=True
id=c99e728c1e75 | members=   2 | nodes=  74 | max_common=    29166172625 | steps=  58 | avg_v2=2.189655 | surplus=+35.072175 | surplus_step=+0.604693 | max_debt_trunk=0.000000 | diss=True
id=873e47470819 | members=   3 | nodes=  87 | max_common=     8153728541 | steps=  56 | avg_v2=2.178571 | surplus=+33.242100 | surplus_step=+0.593609 | max_debt_trunk=0.000000 | diss=True
