start;classe_mod_1024;reached_one;total_steps;first_descent_step;final_descent_step;last_above_start_step;first_positive_surplus_step;peak_step;max_value;max_ratio;max_debt;max_debt_step;max_run_1;count_1;count_2;count_3;count_4_plus;ratio_1;ratio_2;ratio_3;ratio_4_plus;total_v2;avg_v2;final_surplus;prefix_50
1127871;447;True;155;116;116;115;116;79;10702358765;9488.991883823594;13.212037556971325;79;7;93;33;17;12;0.6;0.2129032258064516;0.10967741935483871;0.07741935483870968;266;1.7161290322580645;20.330812388220806;1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,2,1,3,1,1,2,1,1,2,2,1,4,1,1,2,1,1,3,1,1,1,1,1,3,2,1,1,4,2
2987423;415;True;151;116;116;115;116;69;15730912385;5265.7130861615515;12.362412549759767;69;5;83;42;16;10;0.5496688741721855;0.2781456953642384;0.10596026490066225;0.06622516556291391;261;1.728476821192053;21.670662391105424;1,1,1,1,2,1,2,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,3,1,2,1,1,1,3,2,1,2,1,2,1,1,1,1,1,3,1,1,1,1,1,2,1,1,2,2
2548479;767;True;194;98;116;115;98;45;13060745957;5124.918022475366;12.323312532452022;45;8;115;44;20;15;0.5927835051546392;0.2268041237113402;0.10309278350515463;0.07731958762886598;329;1.6958762886597938;21.51727486009571;1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,3,1,3,1,1,1,1,2,1,4,1,2,3,4
2255743;895;True;155;113;116;115;113;79;10702358765;4744.493838615481;12.212037556971325;79;7;93;32;18;12;0.6;0.2064516129032258;0.11612903225806452;0.07741935483870968;267;1.7225806451612904;21.330812388220806;1,1,1,1,1,1,3,1,1,1,2,2,1,1,1,1,1,2,1,1,1,2,1,3,1,1,2,1,1,2,2,1,4,1,1,2,1,1,3,1,1,1,1,1,3,2,1,1,4,2
1896063;639;True;164;16;116;115;16;101;8216025965;4333.203044941018;12.081212572836762;101;7;101;35;14;14;0.6158536585365854;0.21341463414634146;0.08536585365853659;0.08536585365853659;281;1.7134146341463414;21.066149881730382;1,1,1,1,1,1,2,1,1,1,1,1,1,5,2,5,1,1,1,1,3,3,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,1,2,1,1
2643183;239;True;158;115;115;114;115;83;63486606161;24018.997610456787;14.551887559855942;83;10;92;37;17;12;0.5822784810126582;0.23417721518987342;0.10759493670886076;0.0759493670886076;272;1.7215189873417722;21.57592488605735;1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,3,2,1,1,2,1,1,1,1,2,3,1,3,1,1,1,1,1,1,1,1,1,1,2,1,4,1,1,1,3,1,1,1,4,1
1691807;159;True;154;112;115;114;112;78;10702358765;6325.992719618727;12.627075056250177;78;7;92;33;17;12;0.5974025974025974;0.21428571428571427;0.11038961038961038;0.07792207792207792;265;1.7207792207792207;20.915774888941968;1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,2,1,3,1,1,2,1,1,2,2,1,4,1,1,2,1,1,3,1,1,1,1,1,3,2,1,1,4,2,1
1506607;303;True;144;88;115;114;88;63;5571859265;3698.2831388676677;11.852637545432827;63;9;83;40;10;11;0.5763888888888888;0.2777777777777778;0.06944444444444445;0.0763888888888889;249;1.7291666666666667;20.765399896153525;1,1,1,2,2,2,1,1,1,1,1,1,3,1,1,2,1,1,2,4,1,2,1,1,1,1,1,1,1,1,1,2,1,2,2,3,2,1,2,1,2,1,1,1,1,1,2,1,2,1
4481135;111;True;150;109;115;114;109;68;15730912385;3510.4749990794744;11.777450049038606;68;5;82;42;16;10;0.5466666666666666;0.28;0.10666666666666667;0.06666666666666667;260;1.7333333333333334;22.255624891826585;1,1,1,2,1,2,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,3,1,2,1,1,1,3,2,1,2,1,2,1,1,1,1,1,3,1,1,1,1,1,2,1,1,2,2,2
3964775;871;True;157;114;114;113;114;82;63486606161;16012.66305427168;13.966925059134809;82;10;91;37;17;12;0.5796178343949044;0.2356687898089172;0.10828025477707007;0.07643312101910828;271;1.7261146496815287;22.160887386778484;1,1,2,1,1,1,1,1,1,1,2,1,2,1,3,2,1,1,2,1,1,1,1,2,3,1,3,1,1,1,1,1,1,1,1,1,1,2,1,4,1,1,1,3,1,1,1,4,1,2
1222881;225;True;141;1;114;113;1;52;6692535845;5472.76132755354;12.418050037500109;52;7;77;45;7;12;0.5460992907801419;0.3191489361702128;0.04964539007092199;0.0851063829787234;244;1.7304964539007093;20.52028739831698;2,2,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,2,1,2,1,1,2,2,2,1,2,1,2,1,1,1,1,1,1,1,2,2,1,1,2,1,2,2,2,1
2537711;239;True;153;111;114;113;111;77;10702358765;4217.327648814226;12.042112555529016;77;7;91;33;17;12;0.5947712418300654;0.21568627450980393;0.1111111111111111;0.0784313725490196;264;1.7254901960784315;21.50073738966313;1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,2,1,3,1,1,2,1,1,2,2,1,4,1,1,2,1,1,3,1,1,1,1,1,3,2,1,1,4,2,1,1
3007657;169;True;156;1;114;113;1;80;10702358765;3558.3707733295387;11.797000057692486;80;7;93;33;18;12;0.5961538461538461;0.21153846153846154;0.11538461538461539;0.07692307692307693;269;1.7243589743589745;21.745849887499645;2,1,1,1,1,1,1,3,1,1,1,2,2,1,1,1,1,1,2,1,1,1,2,1,3,1,1,2,1,1,2,2,1,4,1,1,2,1,1,3,1,1,1,1,1,3,2,1,1,4
917161;681;True;140;1;113;112;1;51;6692535845;7297.013114382316;12.833087536778962;51;7;77;44;7;12;0.55;0.3142857142857143;0.05;0.08571428571428572;242;1.7285714285714286;20.105249899038142;2,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,2,1,2,1,1,2,2,2,1,2,1,2,1,1,1,1,1,1,1,2,2,1,1,2,1,2,2,2,1,1
