src,dst,count,source_events,empirical_probability
K6:L4:w1-1-1-3:b2,K10:L7:w1-1-1-3-1-1-2:b1,8,273,0.029304029304029304
K6:L4:w1-1-1-3:b1,K15:L12:w1-1-1-1-1-1-2-1-1-1-1-3:b1,8,6057,0.0013207858675912169
K6:L4:w1-1-1-3:b1,K15:L12:w1-1-1-1-1-2-1-1-1-1-1-3:b1,8,6057,0.0013207858675912169
K15:L12:w1-1-1-1-1-2-2-1-1-1-1-2:b1,K8:L6:w1-1-1-1-2-2:b2,8,46,0.17391304347826086
K6:L4:w1-1-1-3:b1,K15:L13:w1-1-1-1-1-1-1-1-1-1-1-1-3:b1,8,6057,0.0013207858675912169
K15:L13:w1-1-1-1-1-1-1-1-1-2-1-1-2:b1,K16:L13:w1-1-1-1-1-1-1-1-2-1-1-2-2:b1,8,47,0.1702127659574468
K15:L13:w1-1-1-1-1-1-1-2-1-1-1-1-2:b1,K16:L13:w1-1-1-1-1-1-2-1-1-1-1-2-2:b1,8,41,0.1951219512195122
K3:L2:w1-2:b1,K15:L13:w1-1-1-1-1-1-1-2-1-1-1-1-2:b1,8,50343,0.00015890987823530581
K3:L2:w1-2:b1,K15:L13:w1-1-1-1-1-1-2-1-1-1-1-1-2:b1,8,50343,0.00015890987823530581
K15:L14:w1-1-1-1-1-1-1-1-1-1-1-1-1-2:b1,K16:L14:w1-1-1-1-1-1-1-1-1-1-1-1-2-2:b1,8,42,0.19047619047619047
K14:L9:w1-1-1-1-1-1-1-1-6:b1,K16:L11:w1-1-1-1-1-1-1-1-1-1-6:b1,8,70,0.11428571428571428
K6:L4:w1-1-1-3:b1,K16:L11:w1-1-1-1-1-1-1-1-1-3-4:b1,8,6057,0.0013207858675912169
K3:L2:w1-2:b1,K16:L11:w1-1-1-1-1-1-1-1-2-1-5:b1,8,50343,0.00015890987823530581
K9:L6:w1-1-1-1-1-4:b1,K16:L11:w1-1-1-1-1-1-1-1-4-1-3:b1,8,438,0.0182648401826484
K3:L2:w1-2:b1,K16:L11:w1-1-1-1-1-1-1-3-3-1-2:b1,8,50343,0.00015890987823530581
K14:L9:w1-1-1-1-1-4-1-1-3:b1,K16:L11:w1-1-1-1-1-1-1-4-1-1-3:b1,8,76,0.10526315789473684
K6:L4:w1-1-1-3:b1,K16:L11:w1-1-1-1-1-1-3-1-1-1-4:b1,8,6057,0.0013207858675912169
K6:L4:w1-1-1-3:b1,K16:L11:w1-1-1-1-1-1-3-2-1-1-3:b1,8,6057,0.0013207858675912169
K3:L2:w1-2:b1,K16:L11:w1-1-1-1-1-1-3-3-1-1-2:b1,8,50343,0.00015890987823530581
K3:L2:w1-2:b1,K16:L11:w1-1-1-1-1-1-4-2-1-1-2:b1,8,50343,0.00015890987823530581
K3:L2:w1-2:b1,K16:L11:w1-1-1-1-1-1-5-1-1-1-2:b1,8,50343,0.00015890987823530581
K3:L2:w1-2:b1,K16:L11:w1-1-1-1-1-2-1-1-1-1-5:b1,8,50343,0.00015890987823530581
K3:L2:w1-2:b1,K16:L11:w1-1-1-1-1-2-1-1-2-1-4:b1,8,50343,0.00015890987823530581
K6:L4:w1-1-1-3:b1,K16:L11:w1-1-1-1-1-2-3-1-1-1-3:b1,8,6057,0.0013207858675912169
K3:L2:w1-2:b1,K16:L11:w1-1-1-1-1-2-4-1-1-1-2:b1,8,50343,0.00015890987823530581
K6:L4:w1-1-1-3:b1,K16:L11:w1-1-1-1-1-3-1-1-1-1-4:b1,8,6057,0.0013207858675912169
K3:L2:w1-2:b1,K16:L11:w1-1-1-1-1-3-1-1-3-1-2:b1,8,50343,0.00015890987823530581
K3:L2:w1-2:b1,K16:L11:w1-1-1-1-1-3-2-2-1-1-2:b1,8,50343,0.00015890987823530581
K6:L4:w1-1-1-3:b1,K16:L11:w1-1-1-1-1-4-1-1-1-1-3:b1,8,6057,0.0013207858675912169
K3:L2:w1-2:b1,K16:L11:w1-1-1-1-2-1-1-2-2-1-3:b1,8,50343,0.00015890987823530581
K3:L2:w1-2:b1,K16:L11:w1-1-1-1-2-1-2-1-2-1-3:b1,8,50343,0.00015890987823530581
K3:L2:w1-2:b1,K16:L11:w1-1-1-1-2-1-4-1-1-1-2:b1,8,50343,0.00015890987823530581
K6:L4:w1-1-1-3:b1,K16:L11:w1-1-1-1-2-2-2-1-1-1-3:b1,8,6057,0.0013207858675912169
K6:L4:w1-1-1-3:b1,K16:L11:w1-1-1-1-2-3-1-1-1-1-3:b1,8,6057,0.0013207858675912169
K6:L4:w1-1-1-3:b1,K16:L11:w1-1-1-1-3-1-2-1-1-1-3:b1,8,6057,0.0013207858675912169
K11:L7:w1-1-1-3-1-1-3:b1,K16:L11:w1-1-1-2-1-1-1-3-1-1-3:b1,8,308,0.025974025974025976
K3:L2:w1-2:b1,K16:L11:w1-1-1-2-1-1-2-3-1-1-2:b1,8,50343,0.00015890987823530581
K6:L4:w1-1-1-3:b1,K16:L11:w1-1-1-2-1-1-3-1-1-1-3:b1,8,6057,0.0013207858675912169
