src,dst,count
K11:L8:w1-1-1-1-1-1-1-4:b1,K10:L7:w1-1-1-1-1-1-4:b1,84
K14:L9:w1-1-1-1-2-1-2-1-4:b1,K8:L6:w1-1-1-2-1-2:b1,84
K14:L9:w1-1-1-1-2-1-3-1-3:b1,K9:L6:w1-1-1-2-1-3:b1,84
K14:L9:w1-1-1-1-2-1-1-3-3:b1,K10:L7:w1-1-1-2-1-1-3:b1,84
K14:L9:w1-1-1-1-1-2-1-2-4:b1,K9:L7:w1-1-1-1-2-1-2:b1,84
K11:L8:w1-1-1-1-2-1-1-3:b1,K10:L7:w1-1-1-2-1-1-3:b1,84
K13:L9:w1-1-1-1-2-1-2-2-2:b1,K12:L8:w1-1-1-2-1-2-2-2:b1,84
K12:L9:w1-1-1-2-1-2-1-1-2:b1,K7:L5:w1-1-2-1-2:b1,84
K13:L9:w1-1-1-1-2-2-1-1-3:b1,K12:L8:w1-1-1-2-2-1-1-3:b1,83
K12:L9:w1-1-1-1-2-2-1-1-2:b1,K11:L8:w1-1-1-2-2-1-1-2:b1,83
K14:L9:w1-1-1-1-1-1-5-1-2:b1,K3:L2:w1-2:b1,83
K14:L10:w1-1-1-2-1-1-2-1-2-2:b1,K4:L3:w1-1-2:b2,83
