source_node,source_id,source_K,source_L,source_b,t,start_residue_bits,start_residue,start_bit_length,stopped_below_start,stop_or_final_step,episode_count,max_ratio,episode_path
K9:L8:w1-1-1-1-1-1-1-2,27,9,8,1,0,10,767,10,1,10,7,17.10691003911343,K11:L9:w1-1-1-1-1-1-1-2-2:b1@0 > K10:L8:w1-1-1-1-1-1-2-2:b1@1 > K9:L7:w1-1-1-1-1-2-2:b1@2 > K8:L6:w1-1-1-1-2-2:b1@3 > K7:L5:w1-1-1-2-2:b1@4 > K6:L4:w1-1-2-2:b1@5 > K3:L2:w1-2:b1@6
K9:L8:w1-1-1-1-1-1-1-2,27,9,8,1,1,10,767,11,1,11,7,19.232272473478503,K13:L10:w1-1-1-1-1-1-1-2-1-3:b1@0 > K12:L9:w1-1-1-1-1-1-2-1-3:b1@1 > K11:L8:w1-1-1-1-1-2-1-3:b1@2 > K10:L7:w1-1-1-1-2-1-3:b1@3 > K9:L6:w1-1-1-2-1-3:b1@4 > K4:L3:w1-1-2:b1@5 > K3:L2:w1-2:b1@6
K10:L7:w1-1-1-1-1-1-4,28,10,7,1,0,11,1407,11,1,51,19,59.34683724235963,K10:L7:w1-1-1-1-1-1-4:b1@0 > K9:L6:w1-1-1-1-1-4:b1@1 > K12:L9:w1-1-1-1-1-2-1-2-2:b1@7 > K16:L11:w1-1-1-1-2-1-2-2-1-1-3:b1@8 > K15:L10:w1-1-1-2-1-2-2-1-1-3:b1@9 > K14:L9:w1-1-2-1-2-2-1-1-3:b1@10 > K3:L2:w1-2:b2@11 > K3:L2:w1-2:b1@13 > K5:L4:w1-1-1-2:b1@20 > K4:L3:w1-1-2:b1@21 > K3:L2:w1-2:b1@22 > K15:L11:w1-1-1-1-2-1-1-2-1-1-3:b1@24 > K16:L11:w1-1-1-2-1-1-2-1-1-3-2:b1@25 > K4:L3:w1-1-2:b2@26 > K3:L2:w1-2:b1@27 > K11:L7:w1-1-2-1-1-3-2:b1@29 > K3:L2:w1-2:b1@30 > K4:L3:w1-1-2:b1@37 > K3:L2:w1-2:b1@38
K10:L7:w1-1-1-1-1-1-4,28,10,7,1,1,11,1407,12,1,8,2,11.393632416787264,K10:L7:w1-1-1-1-1-1-4:b1@0 > K9:L6:w1-1-1-1-1-4:b1@1
K10:L7:w1-1-1-1-1-2-3,29,10,7,1,0,11,1215,11,1,8,5,7.59917695473251,K10:L7:w1-1-1-1-1-2-3:b1@0 > K9:L6:w1-1-1-1-2-3:b1@1 > K5:L4:w1-1-1-2:b1@2 > K4:L3:w1-1-2:b1@3 > K3:L2:w1-2:b1@4
K10:L7:w1-1-1-1-1-2-3,29,10,7,1,1,11,1215,12,1,11,5,7.595770763101441,K13:L9:w1-1-1-1-1-2-3-1-2:b1@0 > K12:L8:w1-1-1-1-2-3-1-2:b1@1 > K11:L7:w1-1-1-2-3-1-2:b1@2 > K4:L3:w1-1-2:b1@3 > K3:L2:w1-2:b1@4
K10:L7:w1-1-1-1-1-3-2,30,10,7,1,0,11,831,10,1,9,3,7.601684717208183,K12:L8:w1-1-1-1-1-3-2-2:b1@0 > K11:L7:w1-1-1-1-3-2-2:b1@1 > K6:L4:w1-1-1-3:b1@2
K10:L7:w1-1-1-1-1-3-2,30,10,7,1,1,11,831,12,1,12,5,7.596040291767975,K14:L10:w1-1-1-1-1-3-2-1-1-2:b1@0 > K13:L9:w1-1-1-1-3-2-1-1-2:b1@1 > K12:L8:w1-1-1-3-2-1-1-2:b1@2 > K4:L3:w1-1-2:b1@7 > K3:L2:w1-2:b1@8
K10:L7:w1-1-1-1-2-1-3,31,10,7,1,0,11,1951,11,1,16,5,5.6981035366478725,K12:L8:w1-1-1-1-2-1-3-2:b1@0 > K11:L7:w1-1-1-2-1-3-2:b1@1 > K4:L3:w1-1-2:b1@2 > K3:L2:w1-2:b1@3 > K6:L4:w1-1-1-3:b1@11
K10:L7:w1-1-1-1-2-1-3,31,10,7,1,1,11,1951,12,1,15,4,10.815953988497125,K10:L7:w1-1-1-1-2-1-3:b1@0 > K9:L6:w1-1-1-2-1-3:b1@1 > K4:L3:w1-1-2:b1@2 > K3:L2:w1-2:b1@3
K10:L7:w1-1-1-1-2-2-2,32,10,7,1,0,11,1567,11,1,8,4,5.06509253350351,K10:L7:w1-1-1-1-2-2-2:b1@0 > K9:L6:w1-1-1-2-2-2:b1@1 > K6:L4:w1-1-2-2:b1@2 > K3:L2:w1-2:b1@3
K10:L7:w1-1-1-1-2-2-2,32,10,7,1,1,11,1567,12,1,11,4,5.063623789764868,K15:L10:w1-1-1-1-2-2-2-1-2-2:b1@0 > K14:L9:w1-1-1-2-2-2-1-2-2:b1@1 > K11:L7:w1-1-2-2-2-1-2:b1@2 > K3:L2:w1-2:b1@3
K10:L7:w1-1-1-1-3-1-2,33,10,7,1,0,11,991,10,1,16,7,5.066599394550958,K16:L11:w1-1-1-1-3-1-2-1-1-2-2:b1@0 > K15:L10:w1-1-1-3-1-2-1-1-2-2:b1@1 > K3:L2:w1-2:b1@5 > K12:L8:w1-1-2-2-1-2-1-2:b1@7 > K3:L2:w1-2:b1@8 > K3:L2:w1-2:b2@11 > K3:L2:w1-2:b1@13
K10:L7:w1-1-1-1-3-1-2,33,10,7,1,1,11,991,12,1,8,3,5.063836788417243,K10:L7:w1-1-1-1-3-1-2:b1@0 > K9:L6:w1-1-1-3-1-2:b1@1 > K3:L2:w1-2:b1@5
K10:L7:w1-1-1-2-1-1-3,34,10,7,1,0,11,1007,10,1,13,4,5.701092353525323,K12:L8:w1-1-1-2-1-1-3-2:b1@0 > K11:L7:w1-1-2-1-1-3-2:b1@1 > K3:L2:w1-2:b1@2 > K6:L4:w1-1-1-3:b1@8
K10:L7:w1-1-1-2-1-1-3,34,10,7,1,1,11,1007,12,1,18,5,24.339443535188217,K10:L7:w1-1-1-2-1-1-3:b1@0 > K9:L6:w1-1-2-1-1-3:b1@1 > K3:L2:w1-2:b1@2 > K14:L9:w1-1-1-1-1-1-5-1-2:b1@7 > K3:L2:w1-2:b1@14
K10:L7:w1-1-1-2-1-2-2,35,10,7,1,0,11,623,10,1,8,4,3.802568218298555,K10:L7:w1-1-1-2-1-2-2:b1@0 > K9:L6:w1-1-2-1-2-2:b1@1 > K3:L2:w1-2:b2@2 > K3:L2:w1-2:b1@4
K10:L7:w1-1-1-2-1-2-2,35,10,7,1,1,11,623,12,1,10,4,3.798202920254586,K13:L9:w1-1-1-2-1-2-2-1-2:b1@0 > K12:L8:w1-1-2-1-2-2-1-2:b1@1 > K3:L2:w1-2:b2@2 > K3:L2:w1-2:b1@4
