src,dst,count
K16:L12:w1-1-1-1-1-1-1-1-3-1-2-2:b1,K15:L11:w1-1-1-1-1-1-1-3-1-2-2:b1,10
K15:L10:w1-1-2-1-1-3-1-1-2-2:b1,K3:L2:w1-2:b1,10
K16:L11:w1-1-1-1-2-1-2-1-1-2-3:b1,K15:L10:w1-1-1-2-1-2-1-1-2-3:b1,9
K15:L10:w1-1-1-3-1-2-1-1-2-2:b1,K3:L2:w1-2:b1,9
K16:L11:w1-1-1-2-1-1-2-1-1-3-2:b1,K4:L3:w1-1-2:b2,9
K11:L8:w1-1-1-1-2-1-2-2:b1,K10:L7:w1-1-1-2-1-2-2:b1,9
K12:L8:w1-1-1-1-2-3-1-2:b1,K11:L7:w1-1-1-2-3-1-2:b1,9
K14:L9:w1-1-1-1-1-1-5-1-2:b1,K3:L2:w1-2:b1,9
K15:L10:w1-1-1-2-1-1-2-1-3-2:b1,K4:L3:w1-1-2:b2,9
K14:L9:w1-1-1-2-3-2-1-1-2:b1,K4:L3:w1-1-2:b1,9
K14:L9:w1-1-1-3-1-2-2-1-2:b1,K3:L2:w1-2:b1,9
K14:L9:w1-1-1-1-3-1-2-1-3:b1,K9:L6:w1-1-1-3-1-2:b1,9
K15:L10:w1-1-1-2-1-1-3-1-2-2:b1,K14:L9:w1-1-2-1-1-3-1-2-2:b1,9
K12:L8:w1-1-1-2-2-1-2-2:b1,K11:L7:w1-1-2-2-1-2-2:b1,9
K15:L11:w1-1-1-1-2-1-1-2-1-2-2:b1,K16:L11:w1-1-1-2-1-1-2-1-2-2-2:b1,9
K12:L8:w1-1-1-1-1-3-1-3:b1,K11:L7:w1-1-1-1-3-1-3:b1,9
K14:L11:w1-1-1-1-1-1-1-2-2-1-2:b1,K13:L10:w1-1-1-1-1-1-2-2-1-2:b1,9
K16:L11:w1-1-1-1-2-1-1-1-3-2-2:b1,K15:L10:w1-1-1-2-1-1-1-3-2-2:b1,9
K12:L8:w1-1-1-1-1-2-1-4:b1,K11:L7:w1-1-1-1-2-1-4:b1,9
K12:L8:w1-1-1-1-1-2-3-2:b1,K11:L7:w1-1-1-1-2-3-2:b1,9
K14:L9:w1-1-1-1-1-4-1-2-2:b1,K11:L7:w1-1-1-1-4-1-2:b1,9
K12:L8:w1-1-1-1-2-2-1-3:b1,K11:L7:w1-1-1-2-2-1-3:b1,9
K15:L10:w1-1-1-2-2-1-3-1-1-2:b1,K6:L4:w1-1-2-2:b1,9
K14:L9:w1-1-1-3-2-1-2-1-2:b1,K3:L2:w1-2:b2,9
K12:L8:w1-1-1-2-1-3-1-2:b1,K11:L7:w1-1-2-1-3-1-2:b1,9
K14:L9:w1-1-1-3-1-1-2-2-2:b1,K6:L4:w1-1-2-2:b1,9
K14:L9:w1-1-1-3-1-2-1-2-2:b1,K11:L7:w1-1-3-1-2-1-2:b1,9
K14:L10:w1-1-1-1-1-1-2-2-2-2:b1,K13:L9:w1-1-1-1-1-2-2-2-2:b1,9
K15:L10:w1-1-1-3-1-2-1-2-1-2:b1,K14:L9:w1-1-3-1-2-1-2-1-2:b1,9
K14:L9:w1-1-1-1-3-1-1-2-3:b1,K10:L7:w1-1-1-3-1-1-2:b1,9
K15:L10:w1-1-1-1-1-1-2-1-2-4:b1,K14:L9:w1-1-1-1-1-2-1-2-4:b1,9
K14:L9:w1-1-1-1-1-3-3-1-2:b1,K7:L5:w1-1-1-1-3:b1,9
K15:L10:w1-1-1-1-1-1-2-2-3-2:b1,K14:L9:w1-1-1-1-1-2-2-3-2:b1,9
K3:L2:w1-2:b1,K15:L11:w1-1-1-1-1-2-1-2-2-1-2:b1,9
K14:L9:w1-1-1-1-2-1-1-4-2:b1,K11:L7:w1-1-1-2-1-1-4:b1,9
K14:L9:w1-1-1-1-1-1-1-4-3:b1,K10:L7:w1-1-1-1-1-1-4:b1,9
K14:L9:w1-1-1-2-1-2-1-1-4:b1,K7:L5:w1-1-2-1-2:b1,9
K13:L9:w1-1-1-2-2-1-2-1-2:b1,K12:L8:w1-1-2-2-1-2-1-2:b1,9
K14:L10:w1-1-1-1-1-2-2-2-1-2:b1,K13:L9:w1-1-1-1-2-2-2-1-2:b1,9
K3:L2:w1-2:b1,K10:L7:w1-1-1-2-1-1-3:b1,9
K16:L13:w1-1-1-1-1-1-1-2-2-1-1-1-2:b1,K15:L12:w1-1-1-1-1-1-2-2-1-1-1-2:b1,9
K15:L12:w1-1-1-1-1-1-2-2-1-1-1-2:b1,K14:L11:w1-1-1-1-1-2-2-1-1-1-2:b1,9
K14:L11:w1-1-1-1-1-2-2-1-1-1-2:b1,K13:L10:w1-1-1-1-2-2-1-1-1-2:b1,9
K13:L10:w1-1-1-1-2-2-1-1-1-2:b1,K7:L5:w1-1-1-2-2:b1,9
K14:L9:w1-1-1-1-2-1-2-3-2:b1,K11:L7:w1-1-1-2-1-2-3:b1,9
K15:L11:w1-1-1-2-1-1-2-1-1-1-3:b1,K4:L3:w1-1-2:b2,9
K14:L9:w1-1-1-2-3-1-1-1-3:b1,K4:L3:w1-1-2:b1,9
